Energy_Use_kWh,Height,Year_Built,Longitude,Latitude,Name,Area_m,Occupants,apartments,parking,stadium,university,utility,warehouse,Building_Length_m,Orientation (degrees north) ,Relative Compactness,Tree_Canopy,Land_Surface_Temp
788415.1008,23.27,1951,-122.3095361,47.64875705,Portage Bay Building,9278.22261,499.1683764,0,0,0,1,0,0,397,48,0.04,0,26.14966127
1230587.741,27.17,1972,-122.3127351,47.65491634,Gould Hall,10687.37531,574.9807917,0,0,0,1,0,0,238,90,0.02,0,27.3441039
1619502.185,10.33,1969,-122.3075478,47.64817827,CHDD School,4236.190994,227.9070755,0,0,0,1,0,0,326,53,0.08,0,28.89355451
1451141.37,26.94,1970,-122.3127104,47.65656703,Schmitz Hall,9261.592973,498.2737019,0,0,0,1,0,0,229,89,0.02,0,27.4733672
1530000,3,2017,-122.3120139,47.65198461,Animal Research and Care Facility,67.21309056,1.418196211,0,0,0,0,1,0,33,144,0.49,0,25.96695257
55711464.64,3,1973,-122.3090442,47.6518222,Magnuson Health Sciences Center T,56.55372679,1.193283635,0,0,0,0,0,1,32,54,0.57,1,25.17770068
365000,40,1971,-122.3098529,47.65620019,Odegaard Library,15419.38962,325.349121,0,0,0,0,0,1,12,0,0,0,27.98265218
294000,4,1987,-122.3054492,47.65211265,Mueller Hall,1550.272361,83.40465302,0,0,0,1,0,0,137,136,0.09,22,24.74009054
648000,8.32,1988,-122.3064379,47.65459455,Guggenheim Annex,366.502335,19.71782562,0,0,0,1,0,0,85,115,0.23,0,26.6263197
99800,15.68,1909,-122.3035624,47.6547158,Plant Operations Annex 4,791.998075,42.60949644,0,0,0,1,0,0,119,152,0.15,26,26.71200325
369,17.92,1998,-122.2991149,47.65495283,Baseball Grandstand,6636.99032,0,0,0,1,0,0,0,352,9,0.05,0,30.18926893
63600,9.16,1965,-122.2972367,47.65878093,Golf Driving Range,473.247882,25.46073605,0,0,0,1,0,0,166,111,0.35,0,27.17836578
57500,14.05,1987,-122.3051938,47.65138673,Wilson Annex,385.919062,20.76244554,0,0,0,1,0,0,108,45,0.28,38,25.32063606
